Timestamp,Date,Time,Detected_Sign,Confidence,Detection_Source,Language,Location_Info,Session_ID
2025-08-16T09:56:25.464756,2025-08-16,09:56:25,Yield,0.9423,Video,English,Video File,20250816_095625
2025-08-16T09:56:25.665606,2025-08-16,09:56:25,Yield,0.9166,Video,English,Video File,20250816_095625
2025-08-16T09:56:25.873031,2025-08-16,09:56:25,Yield,0.9049,Video,English,Video File,20250816_095625
2025-08-16T09:56:26.073225,2025-08-16,09:56:26,Yield,0.9703,Video,English,Video File,20250816_095626
2025-08-16T09:56:26.264856,2025-08-16,09:56:26,Yield,0.9692,Video,English,Video File,20250816_095626
2025-08-16T09:56:26.456891,2025-08-16,09:56:26,Yield,0.9682,Video,English,Video File,20250816_095626
2025-08-16T09:56:26.650630,2025-08-16,09:56:26,Yield,0.9894,Video,English,Video File,20250816_095626
2025-08-16T09:56:26.841191,2025-08-16,09:56:26,Yield,0.9922,Video,English,Video File,20250816_095626
2025-08-16T09:56:27.063342,2025-08-16,09:56:27,Yield,0.9921,Video,English,Video File,20250816_095627
2025-08-16T09:56:27.286062,2025-08-16,09:56:27,Yield,0.9937,Video,English,Video File,20250816_095627
2025-08-16T09:56:27.474779,2025-08-16,09:56:27,Yield,0.9992,Video,English,Video File,20250816_095627
2025-08-16T09:56:27.689188,2025-08-16,09:56:27,Yield,0.9992,Video,English,Video File,20250816_095627
2025-08-16T09:56:27.887795,2025-08-16,09:56:27,Yield,0.9950,Video,English,Video File,20250816_095627
2025-08-16T09:56:28.106709,2025-08-16,09:56:28,Yield,0.9149,Video,English,Video File,20250816_095628
2025-08-16T09:56:28.343336,2025-08-16,09:56:28,Yield,0.9169,Video,English,Video File,20250816_095628
2025-08-16T09:56:28.556968,2025-08-16,09:56:28,Yield,0.9987,Video,English,Video File,20250816_095628
2025-08-16T09:56:28.768727,2025-08-16,09:56:28,Yield,0.9992,Video,English,Video File,20250816_095628
2025-08-16T09:56:28.948167,2025-08-16,09:56:28,Yield,0.9987,Video,English,Video File,20250816_095628
2025-08-16T09:56:29.133387,2025-08-16,09:56:29,Yield,0.9982,Video,English,Video File,20250816_095629
2025-08-16T09:56:29.320095,2025-08-16,09:56:29,Yield,0.9981,Video,English,Video File,20250816_095629
2025-08-16T09:56:29.505825,2025-08-16,09:56:29,Yield,0.9957,Video,English,Video File,20250816_095629
2025-08-16T09:56:29.692576,2025-08-16,09:56:29,Yield,0.9767,Video,English,Video File,20250816_095629
2025-08-16T09:56:29.878990,2025-08-16,09:56:29,Yield,0.9889,Video,English,Video File,20250816_095629
2025-08-16T09:56:30.065582,2025-08-16,09:56:30,Yield,0.9897,Video,English,Video File,20250816_095630
2025-08-16T09:56:30.241992,2025-08-16,09:56:30,Yield,0.9942,Video,English,Video File,20250816_095630
2025-08-16T09:56:30.471085,2025-08-16,09:56:30,Yield,0.9987,Video,English,Video File,20250816_095630
2025-08-16T09:56:30.667971,2025-08-16,09:56:30,Yield,0.9993,Video,English,Video File,20250816_095630
2025-08-16T09:56:30.863640,2025-08-16,09:56:30,Yield,0.9993,Video,English,Video File,20250816_095630
2025-08-16T09:56:31.064693,2025-08-16,09:56:31,Yield,0.9994,Video,English,Video File,20250816_095631
2025-08-16T09:56:31.265939,2025-08-16,09:56:31,Yield,0.9996,Video,English,Video File,20250816_095631
2025-08-16T09:56:31.451385,2025-08-16,09:56:31,Yield,0.9996,Video,English,Video File,20250816_095631
2025-08-16T09:56:31.639384,2025-08-16,09:56:31,Yield,0.9978,Video,English,Video File,20250816_095631
2025-08-16T09:56:31.836141,2025-08-16,09:56:31,Yield,0.9974,Video,English,Video File,20250816_095631
2025-08-16T09:56:32.019292,2025-08-16,09:56:32,Yield,0.9974,Video,English,Video File,20250816_095632
2025-08-16T09:56:32.226763,2025-08-16,09:56:32,Yield,0.9952,Video,English,Video File,20250816_095632
2025-08-16T09:56:32.420149,2025-08-16,09:56:32,Yield,0.9954,Video,English,Video File,20250816_095632
2025-08-16T09:56:32.635597,2025-08-16,09:56:32,Yield,0.9909,Video,English,Video File,20250816_095632
2025-08-16T09:56:32.836435,2025-08-16,09:56:32,Yield,0.9129,Video,English,Video File,20250816_095632
2025-08-16T09:56:33.032421,2025-08-16,09:56:33,Yield,0.9169,Video,English,Video File,20250816_095633
2025-08-16T09:56:33.229027,2025-08-16,09:56:33,Yield,0.9883,Video,English,Video File,20250816_095633
2025-08-16T09:56:33.409369,2025-08-16,09:56:33,Yield,0.9960,Video,English,Video File,20250816_095633
2025-08-16T09:56:33.604862,2025-08-16,09:56:33,Yield,0.9957,Video,English,Video File,20250816_095633
2025-08-16T09:56:33.792160,2025-08-16,09:56:33,Yield,0.9876,Video,English,Video File,20250816_095633
2025-08-16T09:56:33.979528,2025-08-16,09:56:33,Yield,0.9986,Video,English,Video File,20250816_095633
2025-08-16T09:56:34.162909,2025-08-16,09:56:34,Yield,0.9987,Video,English,Video File,20250816_095634
2025-08-16T09:56:34.353421,2025-08-16,09:56:34,Yield,0.9984,Video,English,Video File,20250816_095634
2025-08-16T09:56:34.534618,2025-08-16,09:56:34,Yield,0.9984,Video,English,Video File,20250816_095634
2025-08-16T09:56:34.731911,2025-08-16,09:56:34,Yield,0.9984,Video,English,Video File,20250816_095634
2025-08-16T09:56:34.953390,2025-08-16,09:56:34,Yield,0.9962,Video,English,Video File,20250816_095634
2025-08-16T09:56:35.143995,2025-08-16,09:56:35,Yield,0.9959,Video,English,Video File,20250816_095635
2025-08-16T09:56:35.340016,2025-08-16,09:56:35,Yield,0.9958,Video,English,Video File,20250816_095635
2025-08-16T09:58:39.295823,2025-08-16,09:58:39,Yield,0.7246,Video,English,Video File,20250816_095839
2025-08-16T09:58:39.482346,2025-08-16,09:58:39,Yield,0.9885,Video,English,Video File,20250816_095839
2025-08-16T09:58:39.690287,2025-08-16,09:58:39,Yield,0.9684,Video,English,Video File,20250816_095839
2025-08-16T09:58:39.885708,2025-08-16,09:58:39,Yield,0.9936,Video,English,Video File,20250816_095839
2025-08-16T09:58:40.088758,2025-08-16,09:58:40,Yield,0.9932,Video,English,Video File,20250816_095840
2025-08-16T09:58:40.276471,2025-08-16,09:58:40,Yield,0.9930,Video,English,Video File,20250816_095840
2025-08-16T09:58:40.457585,2025-08-16,09:58:40,Yield,0.9149,Video,English,Video File,20250816_095840
2025-08-16T09:58:41.408597,2025-08-16,09:58:41,Yield,0.8759,Video,English,Video File,20250816_095841
2025-08-16T09:58:41.592965,2025-08-16,09:58:41,Yield,0.8693,Video,English,Video File,20250816_095841
2025-08-16T09:58:42.197624,2025-08-16,09:58:42,Yield,0.7082,Video,English,Video File,20250816_095842
2025-08-16T09:58:43.209807,2025-08-16,09:58:43,Yield,0.7463,Video,English,Video File,20250816_095843
2025-08-16T09:58:43.919485,2025-08-16,09:58:43,Yield,0.9479,Video,English,Video File,20250816_095843
2025-08-16T09:58:44.380553,2025-08-16,09:58:44,Yield,0.7847,Video,English,Video File,20250816_095844
2025-08-16T09:58:45.179063,2025-08-16,09:58:45,Yield,0.9850,Video,English,Video File,20250816_095845
2025-08-16T09:58:45.369112,2025-08-16,09:58:45,Go straight or left,0.8414,Video,English,Video File,20250816_095845
2025-08-16T09:58:45.819516,2025-08-16,09:58:45,Stop sign,0.7393,Video,English,Video File,20250816_095845
2025-08-16T09:58:46.081948,2025-08-16,09:58:46,Stop sign,0.7432,Video,English,Video File,20250816_095846
2025-08-16T09:58:48.859005,2025-08-16,09:58:48,Go straight or left,0.8645,Video,English,Video File,20250816_095848
2025-08-16T09:58:49.046407,2025-08-16,09:58:49,Go straight or left,0.8695,Video,English,Video File,20250816_095849
2025-08-16T09:58:49.647598,2025-08-16,09:58:49,Ahead only,0.7969,Video,English,Video File,20250816_095849
2025-08-16T09:58:50.438457,2025-08-16,09:58:50,Yield,0.9957,Video,English,Video File,20250816_095850
2025-08-16T09:58:50.657824,2025-08-16,09:58:50,Yield,0.9683,Video,English,Video File,20250816_095850
2025-08-16T09:58:50.925359,2025-08-16,09:58:50,Yield,0.9647,Video,English,Video File,20250816_095850
2025-08-16T09:58:51.127749,2025-08-16,09:58:51,Yield,0.9752,Video,English,Video File,20250816_095851
2025-08-16T09:58:51.344853,2025-08-16,09:58:51,Yield,0.9988,Video,English,Video File,20250816_095851
2025-08-16T09:58:51.536130,2025-08-16,09:58:51,Yield,0.9981,Video,English,Video File,20250816_095851
2025-08-16T09:58:51.724833,2025-08-16,09:58:51,Yield,1.0000,Video,English,Video File,20250816_095851
2025-08-16T09:58:51.918885,2025-08-16,09:58:51,Yield,0.9999,Video,English,Video File,20250816_095851
2025-08-16T09:58:52.138385,2025-08-16,09:58:52,Yield,0.9998,Video,English,Video File,20250816_095852
2025-08-16T09:58:52.369652,2025-08-16,09:58:52,Yield,0.9998,Video,English,Video File,20250816_095852
2025-08-16T09:58:52.571857,2025-08-16,09:58:52,Yield,0.9996,Video,English,Video File,20250816_095852
2025-08-16T09:58:52.759134,2025-08-16,09:58:52,Yield,0.9999,Video,English,Video File,20250816_095852
2025-08-16T09:58:52.966809,2025-08-16,09:58:52,Yield,0.9999,Video,English,Video File,20250816_095852
2025-08-16T09:58:53.192633,2025-08-16,09:58:53,Yield,0.9999,Video,English,Video File,20250816_095853
2025-08-16T09:58:53.389973,2025-08-16,09:58:53,Yield,0.9998,Video,English,Video File,20250816_095853
2025-08-16T09:58:53.585482,2025-08-16,09:58:53,Yield,0.9998,Video,English,Video File,20250816_095853
2025-08-16T09:58:53.791461,2025-08-16,09:58:53,Yield,0.9988,Video,English,Video File,20250816_095853
2025-08-16T09:58:54.045725,2025-08-16,09:58:54,Yield,0.9989,Video,English,Video File,20250816_095854
2025-08-16T09:58:54.253037,2025-08-16,09:58:54,Yield,0.9989,Video,English,Video File,20250816_095854
2025-08-16T09:58:54.454372,2025-08-16,09:58:54,Yield,0.8966,Video,English,Video File,20250816_095854
2025-08-16T09:58:54.671335,2025-08-16,09:58:54,Yield,0.9677,Video,English,Video File,20250816_095854
2025-08-16T09:58:54.859425,2025-08-16,09:58:54,Yield,0.9676,Video,English,Video File,20250816_095854
2025-08-16T09:58:55.055856,2025-08-16,09:58:55,Yield,0.9787,Video,English,Video File,20250816_095855
2025-08-16T09:58:55.667543,2025-08-16,09:58:55,Yield,0.8387,Video,English,Video File,20250816_095855
2025-08-16T09:58:55.872556,2025-08-16,09:58:55,Yield,0.9342,Video,English,Video File,20250816_095855
2025-08-16T09:58:56.089525,2025-08-16,09:58:56,Yield,0.9346,Video,English,Video File,20250816_095856
2025-08-16T09:58:56.302788,2025-08-16,09:58:56,Yield,0.8940,Video,English,Video File,20250816_095856
2025-08-16T09:58:56.559381,2025-08-16,09:58:56,Yield,0.9388,Video,English,Video File,20250816_095856
2025-08-16T09:58:56.807817,2025-08-16,09:58:56,Yield,0.9383,Video,English,Video File,20250816_095856
